Timestamp,U3_HNC10AA101XQ01,U3_HNC10AN001XQ01,U3_HNC10CF101,U3_HNC10CG101XQ01,U3_DPU56A105
257,48.95669,312.07602,4.61963,48.24453,4963.14453
258,49.06644,313.21933,4.66502,48.2707,4833.39893
259,49.06791,312.48166,4.65718,48.2879,4830.5332
260,49.17498,312.65906,4.64274,48.30509,4827.66748
261,49.25599,312.60892,4.6097,48.32229,4864.19629
262,49.29926,317.21207,4.67405,48.33949,4955.59814
263,49.32393,313.521,4.61298,48.35668,4922.81494
264,49.3486,314.38318,4.66532,48.37388,4878.66992
265,49.35431,313.86343,4.63515,48.39108,4857.24707
266,49.3535,314.09662,4.68148,48.40827,4835.82471
267,49.34715,314.72522,4.69238,48.42547,4853.92871
268,49.33381,313.4856,4.69706,48.44267,4908.87109
269,49.46017,313.5101,4.68432,48.45986,4897.82178
270,49.47461,314.00183,4.6217,48.47706,4854.64844
271,49.64742,313.68283,4.72664,48.49426,4874.68262
272,49.6156,312.91278,4.60292,48.71663,4894.71631
273,49.6172,314.68277,4.66425,48.80783,4887.67578
274,49.67124,314.30304,4.64671,48.80576,4869.96973
275,49.6978,314.00168,4.65951,48.8037,4860.01514
276,49.73967,315.46558,4.59028,48.80163,4866.73877
277,49.73203,313.92557,4.65751,48.79956,4873.46191
278,49.71801,312.43973,2.24297,48.79749,4880.18555
279,49.70004,314.18814,2.24032,48.79543,4897.30908
280,49.68208,314.9086,2.26843,48.79336,4920.88623
281,49.6911,313.37628,2.209,48.79129,4944.46338
282,49.71717,313.80603,4.64099,48.78923,4968.04102
283,49.79087,314.53156,2.24328,48.78716,4866.5835
284,49.82945,313.64252,2.23104,48.7851,4868.19043
285,49.73164,313.5784,2.2154,48.78303,4881.67822
286,49.72897,315.42749,2.1744,48.78096,4895.16602
287,49.74023,311.9249,4.60423,48.7789,4879.38428
288,49.69732,313.42624,4.61488,48.77683,4845.41064
289,49.7053,313.6019,4.61815,48.77477,4840.38525
290,49.66156,313.64813,4.62119,48.7727,4853.35254
291,49.63335,314.7583,4.64769,48.77063,4864.07324
292,49.6351,315.30746,4.64256,48.76857,4871.64844
293,49.58419,312.79318,4.62664,48.7665,4879.22363
294,49.54306,313.52954,4.62768,48.76444,4889.91553
295,49.49847,314.92871,4.66736,48.76237,4903.52686
296,49.44934,314.39639,4.61208,48.76031,4917.13818
297,49.39734,313.08987,4.61861,48.75824,4921.03027
298,49.37137,315.5896,4.6314,48.75618,4903.91455
299,49.28954,312.88144,4.60994,48.75411,4886.49121
300,49.24281,314.37836,4.63712,48.75204,4866.72266
301,49.21387,314.06958,4.67125,48.74998,4846.9541
302,49.19042,314.57016,4.62824,48.74791,4827.18604
303,49.1689,312.18243,4.59844,48.74585,4836.7002
304,49.13666,312.50607,4.63134,48.74378,4887.32324
305,49.1068,315.08694,4.64412,48.74171,4903.85205
306,49.12528,313.8226,4.67482,48.73965,4872.49902
307,49.13641,313.75824,4.64653,48.73758,4863.02734
308,49.25289,316.04016,4.66389,48.73552,4900.96484
309,49.37498,317.10056,4.6551,48.73345,4938.90186
310,49.36504,313.93857,4.60917,48.73139,4879.75391
311,49.38015,314.75778,4.61924,48.72932,4844.8208
312,49.42802,314.94629,4.66229,48.72726,4868.84619
313,49.45613,313.51773,4.64225,48.72519,4886.17725
314,49.44424,314.33029,4.6655,48.72313,4894.09521
315,49.37913,315.94073,4.65061,48.72106,4902.01318
316,49.40187,314.80399,4.64695,48.71899,4908.01611
317,49.32162,312.69022,4.64977,48.71693,4899.34277
318,49.27063,316.67291,4.66808,48.71486,4890.66943
319,49.22004,313.27765,4.63224,48.7128,4888.23438
320,49.11077,314.12311,4.67655,48.71073,4908.53662
321,49.10781,312.93057,4.63385,48.70866,4928.83838
322,49.09658,313.80542,4.67364,48.7066,4949.14063
323,49.1098,314.33258,4.63813,48.70453,4893.08984
324,49.05824,313.35193,4.6158,48.70247,4840.85791
325,49.06309,312.75443,4.62537,48.7004,4953.15381
326,49.01803,313.89227,4.63947,48.69834,4859
327,48.96455,314.56522,4.65513,48.69627,4898.76025
328,48.95448,313.04938,4.60887,48.69421,4917.68896
329,48.9259,314.94138,4.63786,48.69214,4859.50146
330,48.90532,313.4895,4.62372,48.69007,4847.58447
331,48.86118,312.75861,4.61119,48.68801,4722.43213
332,48.8893,313.86316,4.61497,48.68742,4746.2583
333,48.82872,313.71414,4.6245,48.68742,4770.08398
334,48.81516,311.75314,4.6376,48.68742,4689.00293
335,48.7993,314.79156,4.69137,48.68742,4858.7417
336,48.80487,313.39664,4.68646,48.68742,4698.93945
337,48.80176,313.54117,4.66549,48.68742,4702.21436
338,48.79026,313.34634,4.65291,48.68742,4653.33447
339,48.79477,312.45236,4.63948,48.68742,4633.67822
340,48.82156,313.10623,4.6232,48.68742,4877.74707
341,48.79505,313.58603,4.6542,48.68742,4894.81348
342,48.78722,314.5372,4.66417,48.68742,4901.07959
343,48.81408,313.80396,4.67556,48.68742,4907.3457
344,48.8535,313.543,4.65944,48.68742,4913.61182
345,48.85505,314.36951,4.63289,48.68742,4919.87793
346,48.84355,313.06198,4.64202,48.68742,4926.14404
347,48.93449,313.2511,4.68796,48.68742,4932.41016
348,48.99717,312.84399,4.65017,48.68742,4916.45313
349,49.04369,314.93588,4.64517,48.68742,4886.5249
350,49.02594,312.49326,4.62218,48.68742,4903.78174
351,49.08172,312.42371,4.62735,48.68742,4925.4834
352,49.11374,313.534,4.60928,48.68742,4945.70654
353,49.1384,316.04169,4.67345,48.68742,4860.2749
354,49.16306,313.82132,4.6248,48.68742,4825.65479
355,49.17168,312.49203,4.61658,48.68742,4861.84326
356,49.15446,313.86093,4.63665,48.68742,4888.65283
357,49.17029,314.04584,4.64226,48.68742,4915.4624
358,49.2082,312.57327,4.61462,48.68742,4930.74121
359,49.25835,314.63623,4.65615,48.68742,4903.54199
360,49.21935,314.28128,4.6309,48.68742,4882.05566
361,49.28343,314.22772,4.56969,48.68742,4905.2373
362,49.30034,312.44089,4.64568,48.68742,4928.41895
363,49.31229,314.00974,4.675,48.68742,4951.6001
364,49.33963,313.68344,4.64245,48.68742,4900.71826
365,49.29243,313.95517,4.66373,48.68742,4866.48682
366,49.3077,313.64969,4.63448,48.68742,4853.48291
367,49.29293,313.09903,4.62178,48.68742,4840.47949
368,49.2998,314.17136,4.60372,48.68742,4827.47559
369,49.30668,313.16968,4.6059,48.68742,4834.06494
370,49.3098,314.93039,4.64875,48.68742,4845.16113
371,49.29905,312.51343,4.63423,48.68742,4856.25781
372,49.28829,313.59033,4.65701,48.68742,4850.92334
373,49.3199,315.38351,4.64695,48.68742,4844.02148
374,49.34874,313.83975,4.65833,48.68742,4837.55127
375,49.38709,313.76733,4.65113,48.68742,4864.41064
376,49.42114,313.80173,4.61339,48.68742,4891.27002
377,49.49034,314.21472,4.62094,48.68742,4893.69385
378,49.53007,314.03409,4.6652,48.68742,4880.67139
379,49.56815,312.92395,4.62912,48.68742,4867.64893
380,49.60537,315.996,4.63621,48.68742,4864.18262
381,49.60432,313.2735,4.66954,48.68742,4896.13135
382,49.60682,313.07767,4.64359,48.68742,4928.08008
383,49.63841,313.24783,4.62513,48.67439,4932.75732
384,49.66747,313.84576,4.65395,48.65309,4878.38721
385,49.68719,313.7048,4.66702,48.63179,4902.56201
386,49.6801,313.03152,4.70174,48.6105,4926.73682
387,49.65985,312.62286,4.67022,48.5892,4928.36182
388,49.62122,313.59274,4.65092,48.56791,4846.26904
389,49.64043,312.48227,4.67563,48.54661,4877.07178
390,49.53786,315.25104,4.75212,48.52532,4950.65967
391,49.50589,314.16708,4.6915,48.50402,4881.47705
392,49.45685,313.64017,4.65234,48.48273,4882.06152
393,49.3872,315.66882,4.72617,48.46143,4926.87793
394,49.38316,313.82114,4.65226,48.44014,4971.69385
395,49.28716,313.01001,4.67883,48.41884,4854.42773
396,49.21378,313.70175,4.68071,48.39754,4833.38281
397,49.09501,314.03818,4.72758,48.37625,4852.03516
398,49.00709,313.05478,4.66472,48.35495,4888.05322
399,48.89508,316.03149,4.70955,48.33366,4924.07129
400,48.82617,315.05679,4.70978,48.31236,4941.87549
401,48.76091,315.95877,4.72669,48.29107,4892.21533
402,48.74954,313.84497,4.6764,48.26977,4876.56396
403,48.69841,313.75735,4.6535,48.24847,4860.91309
404,48.54111,314.90225,4.69206,48.22718,4845.26172
405,48.4885,313.65753,4.65898,48.20588,4849.54102
406,48.40389,315.89182,4.66563,48.18459,4928.16797
407,48.40358,314.42963,4.67871,48.16329,4905.16162
408,48.28406,314.81662,4.70228,48.142,4871.82959
409,48.15266,315.41608,4.67151,48.03893,4916.21729
410,47.94782,315.73285,4.7023,47.91684,4960.60498
411,47.75216,314.22342,4.6699,47.79474,4855.66064
412,47.60537,313.79449,4.70974,47.56537,4866.23438
413,47.46616,313.73199,4.66225,47.37317,4929.65186
414,47.31342,311.63895,4.65999,47.2401,4886.85547
415,47.16957,312.13641,4.64509,47.11158,4858.35303
416,46.94547,310.68933,4.63398,47.02068,4839.87793
417,46.82245,309.40463,4.62793,46.80476,4819.2085
418,46.74098,308.67856,4.54768,46.73162,4790.33154
419,46.73556,306.23596,4.52181,46.70659,4778.78027
420,46.63204,307.54498,4.56489,46.65828,4762.43848
421,46.55853,308.2952,4.58245,46.62299,4754.08398
422,46.52151,309.94424,4.59033,46.5877,4745.72998
423,46.47427,307.96149,4.54638,46.55242,4737.37549
424,46.41167,305.67526,4.50169,46.51713,4728.13184
425,46.33105,306.34464,4.49279,46.48184,4718.52539
426,46.30114,304.75943,4.5003,46.44656,4708.91943
427,46.34513,303.57019,4.48352,46.41127,4711.21826
428,46.39228,305.44754,4.46783,46.37598,4721.11621
429,46.39646,304.77835,4.49383,46.34069,4731.01416
430,46.44336,304.87857,4.4479,46.3054,4740.91211
431,46.46994,303.53705,4.4376,46.27011,4711.14795
432,46.4899,302.16245,4.43573,46.23483,4672.09326
433,46.51078,302.80521,4.4144,46.19954,4685.18945
434,46.52983,304.1955,4.48486,46.16425,4719.57617
435,46.54441,303.18759,4.50756,46.12896,4718.7207
436,46.6527,302.20538,4.45978,46.09368,4695.34229
437,46.76566,301.43179,4.42416,46.06945,4695.75537
438,47.05618,302.95844,4.45681,46.13486,4719.02734
439,47.17032,303.22302,4.47904,46.20028,4742.29932
440,47.54365,302.20496,4.41826,46.35133,4699.27002
441,47.71872,304.24646,4.44025,46.6932,4629.13428
442,47.7632,302.71698,4.46427,47.03507,4674.40771
443,47.88043,305.02139,4.42989,47.19,4728.17529
444,48.05874,302.66312,4.46663,47.30099,4687.73535
445,48.19431,303.19003,4.48549,47.35669,4668.90527
446,48.23222,302.46936,4.44987,47.37696,4698.2627
447,48.32433,303.02759,4.4525,47.39724,4727.62012
448,48.44889,302.24045,4.49415,47.41751,4754.62109
449,48.67173,303.25821,4.46198,47.43779,4778.22363
450,48.73014,302.26013,4.50805,47.45806,4801.82617
451,48.67352,302.97171,4.50434,47.47834,4739.36719
452,48.63316,304.3031,4.53916,47.49861,4676.69824
453,48.61172,304.99637,9.02986,47.51889,4693.53711
454,48.60923,304.45123,9.0173,47.53916,4713.70361
455,48.67064,304.34885,9.03801,47.55944,4737.07764
456,48.62162,303.30423,9.02317,47.57971,4760.45117
457,48.59657,305.32147,4.56899,47.59998,4768.81104
458,48.57138,303.94846,9.0356,47.62026,4720.34814
459,48.53093,303.21243,9.04617,47.64053,4697.05078
460,48.54243,305.10779,9.05002,47.6608,4689.91113
461,48.54997,303.26224,9.05738,47.68108,4682.77148
462,48.57958,303.44797,4.53734,47.70135,4680.04199
463,48.62731,304.58234,9.05513,47.72162,4687.18262
464,48.7476,302.2486,8.99026,47.7419,4694.32324
465,48.73037,304.68234,8.98955,47.76217,4711.54053
