,U3_HNV10CT104,U3_HNV10CT111,U3_HNV10CT102,U3_HNV10CT103
2017-01-03|15:10:48.000,34.03604,27.11285,29.47971,39.02544
2017-01-03|15:10:58.000,34.05059,27.11285,29.48133,38.95422
2017-01-03|15:11:08.000,34.0708,27.11285,29.48295,38.89598
2017-01-03|15:11:18.000,34.06771,27.11285,29.48458,38.86312
2017-01-03|15:11:28.000,34.0541,27.11285,29.4862,38.82304
2017-01-03|15:11:38.000,34.03924,27.11285,29.48783,38.78998
2017-01-03|15:11:48.000,34.02609,27.11285,29.48945,38.75009
2017-01-03|15:11:58.000,34.0347,27.11285,29.49107,38.71479
2017-01-03|15:12:08.000,34.04331,27.11285,29.4927,38.69948
2017-01-03|15:12:18.000,34.05242,27.11285,29.49432,38.78876
2017-01-03|15:12:28.000,34.06678,27.11285,29.49595,38.83387
2017-01-03|15:12:38.000,34.07396,27.11285,29.49757,38.82352
2017-01-03|15:12:48.000,34.06319,27.11285,29.4992,38.81317
2017-01-03|15:12:58.000,34.05242,27.11285,29.50082,38.7953
2017-01-03|15:13:08.000,34.05551,27.11285,29.50244,38.7641
2017-01-03|15:13:18.000,34.06039,27.11285,29.50407,38.73414
2017-01-03|15:13:28.000,34.06527,27.11285,29.50086,38.74409
2017-01-03|15:13:38.000,34.07014,27.11285,29.49424,38.75405
2017-01-03|15:13:48.000,34.07502,27.11285,29.48762,38.78709
2017-01-03|15:13:58.000,34.06947,27.11285,29.481,38.83258
2017-01-03|15:14:08.000,34.05655,27.11285,29.49368,38.86229
2017-01-03|15:14:18.000,34.04398,27.1161,29.49278,38.90856
2017-01-03|15:14:28.000,34.03168,27.11978,29.4957,38.96033
2017-01-03|15:14:38.000,34.05402,27.12345,29.50347,39.0365
2017-01-03|15:14:48.000,34.06396,27.12713,29.48485,39.00008
2017-01-03|15:14:58.000,34.07391,27.1308,29.4959,38.91547
2017-01-03|15:15:08.000,34.08385,27.13448,29.48298,38.82437
2017-01-03|15:15:18.000,34.0938,27.13815,29.50103,38.8226
2017-01-03|15:15:28.000,34.09741,27.14183,29.50353,38.84251
2017-01-03|15:15:38.000,34.05841,27.14551,29.50216,38.86242
2017-01-03|15:15:48.000,34.0312,27.14918,29.5008,38.88234
2017-01-03|15:15:58.000,34.00399,27.15286,29.49943,38.87818
2017-01-03|15:16:08.000,33.97678,27.15653,29.49807,38.86295
2017-01-03|15:16:18.000,33.95076,27.16021,29.4967,38.80782
2017-01-03|15:16:28.000,33.94207,27.16389,29.49534,38.76017
2017-01-03|15:16:38.000,33.93561,27.16756,29.49397,38.69545
2017-01-03|15:16:48.000,33.92915,27.17124,29.49261,38.65894
2017-01-03|15:16:58.000,33.9227,27.17491,29.49124,38.6916
2017-01-03|15:17:08.000,33.97032,27.17859,29.48987,38.71226
2017-01-03|15:17:18.000,33.96778,27.18227,29.48851,38.76872
2017-01-03|15:17:28.000,33.96115,27.18594,29.48714,38.83994
2017-01-03|15:17:38.000,33.95452,27.18962,29.48577,38.89298
2017-01-03|15:17:48.000,33.94789,27.1933,29.48441,38.94349
2017-01-03|15:17:58.000,33.98128,27.19697,29.48304,39.00307
2017-01-03|15:18:08.000,34.00191,27.20065,29.48167,39.00579
2017-01-03|15:18:18.000,34.03487,27.20432,29.48031,38.94139
2017-01-03|15:18:28.000,34.05512,27.208,29.47894,38.88219
2017-01-03|15:18:38.000,34.06086,27.21168,29.48138,38.86549
2017-01-03|15:18:48.000,34.06661,27.21535,29.48389,38.84879
2017-01-03|15:18:58.000,34.07235,27.21903,29.4864,38.83209
2017-01-03|15:19:08.000,34.05326,27.22271,29.4889,38.81539
2017-01-03|15:19:18.000,34.04324,27.12399,29.49141,38.79869
2017-01-03|15:19:28.000,34.03517,27.16325,29.49392,38.7914
2017-01-03|15:19:38.000,34.0271,27.2025,29.49643,38.82591
2017-01-03|15:19:48.000,34.0366,27.13766,29.49893,38.83361
2017-01-03|15:19:58.000,34.05095,27.20232,29.50144,38.8289
2017-01-03|15:20:08.000,34.06279,27.14493,29.50395,38.8242
2017-01-03|15:20:18.000,34.08752,27.19988,29.50565,38.8195
2017-01-03|15:20:28.000,34.12803,27.16555,29.50698,38.81479
2017-01-03|15:20:38.000,34.11285,27.1426,29.50831,38.80567
2017-01-03|15:20:48.000,34.08307,27.20966,29.50964,38.77038
2017-01-03|15:20:58.000,34.09132,27.15116,29.51097,38.70884
2017-01-03|15:21:08.000,34.1212,27.11893,29.5123,38.69326
2017-01-03|15:21:18.000,34.15157,27.12221,29.51363,38.67786
2017-01-03|15:21:28.000,34.17749,27.14664,29.51496,38.65794
2017-01-03|15:21:38.000,34.17242,27.17106,29.51628,38.67641
2017-01-03|15:21:48.000,34.16735,27.19549,29.51761,38.71171
2017-01-03|15:21:58.000,34.16228,27.21991,29.51895,38.78849
2017-01-03|15:22:08.000,34.15721,27.1449,29.52028,38.91792
2017-01-03|15:22:18.000,34.17406,27.19985,29.52161,38.92846
2017-01-03|15:22:28.000,34.15738,27.16451,29.52294,38.90734
2017-01-03|15:22:38.000,34.1407,27.21903,29.52427,38.86327
2017-01-03|15:22:48.000,34.12402,27.14234,29.5256,38.88393
